dc_id,sku_id,available_inv
DC013,SKU017,117
DC003,SKU020,753
DC011,SKU027,0
DC012,SKU044,902
DC010,SKU025,5146
DC014,SKU033,54
DC002,SKU008,2377
DC017,SKU066,215
DC001,SKU010,361
DC017,SKU052,29
DC003,SKU070,1494
DC005,SKU053,0
DC017,SKU012,0
DC017,SKU021,856
DC007,SKU027,282
DC005,SKU022,4357
DC015,SKU047,3629
DC008,SKU012,7
DC016,SKU041,164
DC008,SKU057,98
DC004,SKU015,344
DC017,SKU062,2283
DC011,SKU018,0
DC012,SKU014,313
DC006,SKU066,575
DC011,SKU052,15
DC014,SKU008,84
DC002,SKU061,7001
DC015,SKU021,1873
DC018,SKU001,0
DC018,SKU067,120
DC013,SKU021,3144
DC004,SKU042,0
DC007,SKU017,63
DC011,SKU039,437
DC013,SKU012,40
DC015,SKU050,157
DC017,SKU035,0
DC013,SKU067,60
DC013,SKU066,153
DC013,SKU059,217
DC017,SKU070,130
DC015,SKU028,1040
DC018,SKU071,5
DC005,SKU063,533
DC003,SKU026,2463
DC006,SKU011,632
DC003,SKU036,160
DC006,SKU016,1404
DC007,SKU034,433
DC017,SKU036,0
DC018,SKU027,152
DC014,SKU055,0
DC005,SKU049,78
DC016,SKU049,41
DC010,SKU031,662
DC005,SKU045,12892
DC010,SKU007,288
DC001,SKU023,35989
DC015,SKU027,79
DC018,SKU033,270
DC008,SKU069,430
DC008,SKU053,0
DC008,SKU025,898
DC009,SKU050,29
DC016,SKU067,198
DC014,SKU010,191
DC018,SKU022,2633
DC002,SKU025,6776
DC009,SKU015,19
DC013,SKU052,33
DC014,SKU050,28
DC017,SKU020,303
DC014,SKU072,313
DC011,SKU046,2407
DC012,SKU049,31
DC018,SKU041,198
DC016,SKU008,1075
DC003,SKU068,1002
DC013,SKU049,177
DC010,SKU026,2320
DC001,SKU028,0
DC007,SKU020,193
DC007,SKU004,0
DC001,SKU025,3999
DC009,SKU071,12
DC007,SKU053,0
DC009,SKU044,91
DC014,SKU044,634
DC003,SKU067,794
DC010,SKU010,514
DC002,SKU001,72
DC003,SKU030,724
DC007,SKU012,199
DC008,SKU072,468
DC010,SKU062,4985
DC003,SKU028,780
DC011,SKU057,2
DC003,SKU071,588
DC008,SKU062,1385
DC004,SKU019,17071
DC004,SKU036,573
DC010,SKU040,88
DC015,SKU025,4347
DC018,SKU006,3106
DC001,SKU048,173
DC001,SKU032,1986
DC011,SKU054,314
DC003,SKU004,167
DC011,SKU030,50
DC001,SKU056,664
DC004,SKU041,281
DC002,SKU052,263
DC018,SKU026,450
DC018,SKU030,43
DC004,SKU021,1025
DC006,SKU044,4258
DC011,SKU019,4204
DC015,SKU032,3407
DC001,SKU017,36
DC010,SKU024,560
DC006,SKU021,2452
DC002,SKU032,1857
DC016,SKU060,38
DC014,SKU034,749
DC014,SKU066,245
DC014,SKU067,144
DC001,SKU058,15
DC005,SKU034,598
DC002,SKU067,930
DC006,SKU064,81
DC009,SKU060,53
DC002,SKU046,9604
DC013,SKU068,146
DC004,SKU006,1087
DC010,SKU019,14200
DC013,SKU016,295
DC008,SKU064,24
DC008,SKU054,451
DC011,SKU042,6
DC008,SKU071,0
DC007,SKU068,303
DC012,SKU031,349
DC008,SKU042,15
DC015,SKU046,10459
DC003,SKU010,275
DC017,SKU054,392
DC006,SKU048,143
DC003,SKU017,0
DC007,SKU016,421
DC003,SKU042,138
DC011,SKU063,120
DC002,SKU047,6618
DC015,SKU056,351
DC017,SKU045,13495
DC017,SKU030,5
DC011,SKU008,103
DC009,SKU061,0
DC017,SKU025,1409
DC001,SKU070,0
DC013,SKU048,196
DC004,SKU005,209
DC005,SKU023,22317
DC007,SKU049,72
DC017,SKU024,86
DC012,SKU061,1834
DC003,SKU025,2703
DC006,SKU052,93
DC004,SKU029,14878
DC010,SKU034,1119
DC003,SKU049,311
DC003,SKU041,233
DC014,SKU029,9468
DC012,SKU052,33
DC012,SKU007,145
DC004,SKU039,2445
DC008,SKU024,26
DC011,SKU002,0
DC018,SKU009,183
DC015,SKU016,997
DC010,SKU032,1360
DC009,SKU053,0
DC007,SKU063,1013
DC011,SKU062,1063
DC014,SKU015,126
DC008,SKU004,63
DC007,SKU001,0
DC002,SKU037,1280
DC015,SKU059,185
DC003,SKU039,384
DC005,SKU057,448
DC008,SKU015,225
DC018,SKU062,2549
DC003,SKU006,1347
DC005,SKU056,649
DC005,SKU039,1077
DC004,SKU011,532
DC014,SKU053,0
DC006,SKU001,0
DC007,SKU006,1126
DC017,SKU046,3980
DC011,SKU044,606
DC007,SKU072,269
DC013,SKU039,618
DC001,SKU002,127
DC015,SKU071,50
DC010,SKU046,9758
DC008,SKU046,4053
DC010,SKU045,30106
DC010,SKU071,161
DC011,SKU016,290
DC016,SKU009,160
DC017,SKU056,101
DC012,SKU071,0
DC012,SKU006,1676
DC013,SKU050,143
DC003,SKU061,3501
DC015,SKU067,550
DC005,SKU026,254
DC005,SKU010,565
DC008,SKU044,594
DC012,SKU047,957
DC005,SKU038,180
DC002,SKU054,1561
DC013,SKU026,207
DC009,SKU054,42
DC001,SKU022,9102
DC002,SKU044,5566
DC018,SKU044,563
DC011,SKU006,1771
DC004,SKU038,338
DC014,SKU006,3041
DC005,SKU004,0
DC013,SKU027,0
DC007,SKU055,0
DC012,SKU069,626
DC002,SKU058,2186
DC002,SKU053,18
DC013,SKU023,18032
DC004,SKU010,1068
DC018,SKU003,72
DC016,SKU029,5520
DC006,SKU025,5771
DC002,SKU049,142
DC014,SKU059,116
DC013,SKU022,1899
DC001,SKU001,109
DC018,SKU052,17
DC018,SKU032,938
DC002,SKU035,1440
DC002,SKU012,40
DC009,SKU064,39
DC013,SKU064,45
DC013,SKU042,9
DC016,SKU052,9
DC016,SKU004,0
DC016,SKU050,66
DC013,SKU071,50
DC018,SKU057,76
DC008,SKU067,31
DC009,SKU052,16
DC012,SKU068,1578
DC009,SKU070,175
DC012,SKU009,326
DC012,SKU059,168
DC015,SKU005,694
DC010,SKU055,195
DC018,SKU046,7144
DC008,SKU008,614
DC012,SKU012,260
DC002,SKU071,40
DC006,SKU054,1072
DC009,SKU002,0
DC005,SKU025,2620
DC004,SKU034,658
DC005,SKU047,797
DC018,SKU034,621
DC013,SKU029,2161
DC004,SKU035,0
DC007,SKU060,130
DC012,SKU066,101
DC018,SKU016,303
DC015,SKU063,1379
DC018,SKU065,20
DC005,SKU003,280
DC017,SKU053,0
DC009,SKU005,249
DC010,SKU012,286
DC014,SKU022,1093
DC015,SKU057,199
DC008,SKU014,110
DC009,SKU034,164
DC012,SKU045,15962
DC004,SKU061,1957
DC009,SKU055,0
DC003,SKU055,38
DC001,SKU038,264
DC003,SKU021,1632
DC009,SKU042,1
DC008,SKU039,140
DC009,SKU062,341
DC010,SKU044,3508
DC013,SKU044,625
DC016,SKU021,713
DC015,SKU010,373
DC017,SKU064,12
DC018,SKU068,630
DC007,SKU056,123
DC006,SKU008,1189
DC001,SKU011,424
DC003,SKU052,20
DC005,SKU006,1307
DC014,SKU039,839
DC014,SKU024,62
DC011,SKU012,353
DC008,SKU010,163
DC018,SKU031,779
DC013,SKU015,149
DC013,SKU046,1869
DC003,SKU057,584
DC005,SKU035,0
DC009,SKU009,203
DC015,SKU011,786
DC010,SKU038,57
DC006,SKU015,230
DC007,SKU035,0
DC003,SKU027,36
DC008,SKU068,311
DC002,SKU051,0
DC005,SKU029,7797
DC001,SKU057,0
DC003,SKU019,8521
DC011,SKU005,311
DC013,SKU019,8011
DC011,SKU001,42
DC005,SKU042,14
DC008,SKU055,0
DC015,SKU008,1674
DC009,SKU068,166
DC018,SKU038,83
DC015,SKU017,82
DC001,SKU050,225
DC009,SKU019,3070
DC010,SKU022,3782
DC011,SKU050,132
DC015,SKU020,370
DC010,SKU057,645
DC010,SKU039,1636
DC002,SKU055,181
DC011,SKU032,728
DC010,SKU064,100
DC009,SKU049,169
DC001,SKU071,0
DC005,SKU054,1440
DC016,SKU005,294
DC018,SKU019,11024
DC001,SKU053,0
DC006,SKU029,13326
DC009,SKU041,155
DC005,SKU015,200
DC010,SKU033,296
DC016,SKU056,247
DC002,SKU026,826
DC008,SKU031,0
DC009,SKU063,42
DC012,SKU070,117
DC003,SKU007,0
DC006,SKU057,221
DC018,SKU010,287
DC004,SKU055,76
DC017,SKU040,2
DC014,SKU064,0
DC003,SKU058,111
DC001,SKU045,25748
DC014,SKU023,29382
DC018,SKU035,0
DC007,SKU048,139
DC002,SKU064,48
DC015,SKU001,304
DC003,SKU012,601
DC006,SKU030,146
DC011,SKU064,0
DC009,SKU026,97
DC012,SKU035,297
DC012,SKU046,3234
DC007,SKU029,5129
DC005,SKU002,0
DC006,SKU036,4372
DC004,SKU063,0
DC006,SKU028,2340
DC006,SKU046,11525
DC009,SKU020,98
DC005,SKU066,445
DC017,SKU015,94
DC016,SKU011,153
DC006,SKU070,699
DC005,SKU060,96
DC001,SKU064,49
DC014,SKU027,52
DC012,SKU067,87
DC010,SKU008,3996
DC016,SKU044,1088
DC006,SKU035,1745
DC016,SKU053,0
DC001,SKU046,5737
DC011,SKU056,254
DC008,SKU041,108
DC005,SKU064,32
DC001,SKU041,431
DC007,SKU064,16
DC012,SKU008,410
DC013,SKU008,752
DC016,SKU038,0
DC008,SKU040,1
DC001,SKU030,0
DC005,SKU062,2192
DC013,SKU001,0
DC015,SKU072,262
DC015,SKU013,0
DC002,SKU024,178
DC003,SKU053,2
DC018,SKU056,83
DC008,SKU023,18993
DC001,SKU012,192
DC010,SKU047,4871
DC012,SKU072,242
DC003,SKU001,0
DC006,SKU024,123
DC006,SKU019,15336
DC002,SKU011,649
DC004,SKU022,6048
DC007,SKU046,3833
DC012,SKU041,100
DC017,SKU034,354
DC003,SKU008,2466
DC013,SKU055,0
DC004,SKU056,457
DC010,SKU029,17599
DC017,SKU032,1322
DC009,SKU048,73
DC008,SKU005,531
DC007,SKU062,2313
DC005,SKU012,171
DC015,SKU048,386
DC018,SKU048,165
DC012,SKU065,105
DC015,SKU003,816
DC004,SKU072,99
DC011,SKU009,216
DC018,SKU049,20
DC004,SKU003,816
DC011,SKU068,0
DC018,SKU025,1445
DC018,SKU017,123
DC006,SKU022,9271
DC004,SKU008,0
DC004,SKU046,6573
DC016,SKU063,434
DC007,SKU011,142
DC012,SKU055,0
DC003,SKU023,29790
DC015,SKU033,44
DC011,SKU037,0
DC015,SKU053,18
DC001,SKU069,1958
DC004,SKU024,96
DC015,SKU064,38
DC017,SKU011,374
DC007,SKU042,48
DC005,SKU009,807
DC014,SKU011,129
DC005,SKU001,0
DC004,SKU033,84
DC012,SKU019,3924
DC016,SKU054,652
DC001,SKU029,18193
DC004,SKU070,0
DC015,SKU031,2900
DC009,SKU038,68
DC018,SKU036,0
DC016,SKU046,2680
DC006,SKU034,884
DC010,SKU053,0
DC010,SKU041,320
DC009,SKU012,107
DC006,SKU038,333
DC015,SKU023,21350
DC002,SKU015,1347
DC011,SKU017,563
DC006,SKU006,4347
DC011,SKU055,59
DC007,SKU023,13266
DC010,SKU069,1555
DC012,SKU056,266
DC013,SKU034,546
DC001,SKU020,272
DC002,SKU010,1504
DC011,SKU066,136
DC002,SKU066,1172
DC009,SKU022,400
DC004,SKU054,923
DC006,SKU062,7504
DC018,SKU069,1110
DC014,SKU017,57
DC003,SKU033,10
DC010,SKU009,3627
DC009,SKU006,277
DC013,SKU024,81
DC014,SKU069,584
DC004,SKU012,478
DC009,SKU039,126
